code,prefecture,men,women
1,北海道,179,126
2,青森県,40,24
3,岩手県,33,28
4,宮城県,35,29
5,秋田県,25,21
6,山形県,35,28
7,福島県,59,42
8,茨城県,44,41
9,栃木県,25,24
10,群馬県,35,26
11,埼玉県,63,63
12,千葉県,54,53
13,東京都,62,58
14,神奈川県,33,32
15,新潟県,30,29
16,富山県,15,13
17,石川県,19,15
18,福井県,17,14
19,山梨県,27,19
20,長野県,77,67
21,岐阜県,42,37
22,静岡県,35,27
23,愛知県,54,51
24,三重県,29,25
25,滋賀県,19,18
26,京都府,26,23
27,大阪府,43,43
28,兵庫県,41,39
29,奈良県,39,25
30,和歌山県,30,24
31,鳥取県,19,14
32,島根県,19,14
33,岡山県,27,21
34,広島県,23,22
35,山口県,19,17
36,徳島県,24,19
37,香川県,17,17
38,愛媛県,20,17
39,高知県,34,26
40,福岡県,60,54
41,佐賀県,20,16
42,長崎県,21,15
43,熊本県,45,34
44,大分県,18,15
45,宮崎県,26,20
46,鹿児島県,43,30
47,沖縄県,41,28
