code,prefecture,men,women
1,北海道,1960,310
2,青森県,526,50
3,岩手県,497,72
4,宮城県,552,81
5,秋田県,389,38
6,山形県,454,54
7,福島県,781,80
8,茨城県,713,111
9,栃木県,417,68
10,群馬県,498,60
11,埼玉県,974,278
12,千葉県,936,211
13,東京都,1174,487
14,神奈川県,590,178
15,新潟県,496,71
16,富山県,230,24
17,石川県,276,27
18,福井県,259,34
19,山梨県,368,37
20,長野県,855,170
21,岐阜県,522,79
22,静岡県,561,88
23,愛知県,941,193
24,三重県,424,78
25,滋賀県,308,57
26,京都府,398,98
27,大阪府,697,206
28,兵庫県,703,155
29,奈良県,421,62
30,和歌山県,364,49
31,鳥取県,240,32
32,島根県,279,27
33,岡山県,407,56
34,広島県,423,57
35,山口県,326,47
36,徳島県,319,43
37,香川県,260,36
38,愛媛県,346,38
39,高知県,373,61
40,福岡県,888,144
41,佐賀県,296,32
42,長崎県,356,32
43,熊本県,607,65
44,大分県,312,29
45,宮崎県,334,46
46,鹿児島県,602,69
47,沖縄県,573,61
