code,prefecture,men,women
1,北海道,58,16
2,青森県,74,0
3,岩手県,74,0
4,宮城県,74,0
5,秋田県,74,0
6,山形県,62,12
7,福島県,74,0
8,茨城県,74,0
9,栃木県,74,0
10,群馬県,74,0
11,埼玉県,74,0
12,千葉県,66,8
13,東京都,69,5
14,神奈川県,74,0
15,新潟県,74,0
16,富山県,74,0
17,石川県,74,0
18,福井県,74,0
19,山梨県,74,0
20,長野県,74,0
21,岐阜県,74,0
22,静岡県,74,0
23,愛知県,74,0
24,三重県,74,0
25,滋賀県,66,8
26,京都府,74,0
27,大阪府,66,8
28,兵庫県,74,0
29,奈良県,74,0
30,和歌山県,74,0
31,鳥取県,74,0
32,島根県,74,0
33,岡山県,74,0
34,広島県,74,0
35,山口県,74,0
36,徳島県,74,0
37,香川県,74,0
38,愛媛県,74,0
39,高知県,74,0
40,福岡県,74,0
41,佐賀県,74,0
42,長崎県,74,0
43,熊本県,66,8
44,大分県,74,0
45,宮崎県,74,0
46,鹿児島県,74,0
47,沖縄県,49,0
