code,prefecture,men,women
1,北海道,15,3
2,青森県,4,1
3,岩手県,5,0
4,宮城県,6,2
5,秋田県,4,1
6,山形県,3,2
7,福島県,5,2
8,茨城県,9,2
9,栃木県,6,1
10,群馬県,6,1
11,埼玉県,21,1
12,千葉県,18,1
13,東京都,29,8
14,神奈川県,18,6
15,新潟県,4,4
16,富山県,5,0
17,石川県,4,0
18,福井県,3,1
19,山梨県,2,2
20,長野県,7,0
21,岐阜県,6,1
22,静岡県,10,2
23,愛知県,21,2
24,三重県,5,1
25,滋賀県,5,1
26,京都府,9,1
27,大阪府,23,4
28,兵庫県,17,1
29,奈良県,4,1
30,和歌山県,5,0
31,鳥取県,4,0
32,島根県,4,0
33,岡山県,6,1
34,広島県,10,1
35,山口県,6,0
36,徳島県,4,0
37,香川県,5,0
38,愛媛県,5,1
39,高知県,4,0
40,福岡県,15,2
41,佐賀県,4,0
42,長崎県,5,1
43,熊本県,6,0
44,大分県,5,0
45,宮崎県,5,0
46,鹿児島県,6,0
47,沖縄県,5,1
