code,prefecture,men,women
1,北海道,87,11
2,青森県,44,3
3,岩手県,41,7
4,宮城県,48,7
5,秋田県,38,5
6,山形県,39,3
7,福島県,52,5
8,茨城県,55,4
9,栃木県,41,6
10,群馬県,43,4
11,埼玉県,76,13
12,千葉県,80,12
13,東京都,86,41
14,神奈川県,85,19
15,新潟県,46,6
16,富山県,35,4
17,石川県,40,3
18,福井県,33,2
19,山梨県,35,1
20,長野県,49,7
21,岐阜県,42,4
22,静岡県,59,9
23,愛知県,94,5
24,三重県,44,6
25,滋賀県,35,7
26,京都府,47,13
27,大阪府,81,6
28,兵庫県,72,13
29,奈良県,37,4
30,和歌山県,39,3
31,鳥取県,30,5
32,島根県,32,3
33,岡山県,47,8
34,広島県,60,3
35,山口県,40,4
36,徳島県,32,4
37,香川県,38,2
38,愛媛県,41,4
39,高知県,35,2
40,福岡県,78,9
41,佐賀県,34,2
42,長崎県,40,6
43,熊本県,46,2
44,大分県,41,2
45,宮崎県,34,4
46,鹿児島県,44,5
47,沖縄県,41,7
