code,prefecture,men,women
1,北海道,765,47
2,青森県,198,15
3,岩手県,210,10
4,宮城県,247,35
5,秋田県,145,5
6,山形県,134,13
7,福島県,290,9
8,茨城県,285,39
9,栃木県,204,17
10,群馬県,223,14
11,埼玉県,555,52
12,千葉県,502,36
13,東京都,927,97
14,神奈川県,539,97
15,新潟県,300,22
16,富山県,113,13
17,石川県,116,21
18,福井県,96,7
19,山梨県,115,8
20,長野県,245,27
21,岐阜県,236,24
22,静岡県,349,40
23,愛知県,586,43
24,三重県,204,14
25,滋賀県,136,12
26,京都府,229,23
27,大阪府,630,88
28,兵庫県,496,46
29,奈良県,138,9
30,和歌山県,139,11
31,鳥取県,79,5
32,島根県,124,12
33,岡山県,202,36
34,広島県,307,39
35,山口県,191,14
36,徳島県,98,11
37,香川県,98,6
38,愛媛県,170,7
39,高知県,123,15
40,福岡県,449,44
41,佐賀県,113,10
42,長崎県,217,13
43,熊本県,214,12
44,大分県,161,8
45,宮崎県,166,6
46,鹿児島県,252,17
47,沖縄県,161,21
