code,prefecture,men,women
1,北海道,51.42919013,41.21244828
2,青森県,42.88702929,40.15296367
3,岩手県,39.976052,37.44928559
4,宮城県,49.87137082,44.14073859
5,秋田県,42.05250597,38.59093125
6,山形県,41.60845762,37.52229931
7,福島県,42.96875,37.99793365
8,茨城県,56.06847201,50.22140221
9,栃木県,51.89727463,45.32128293
10,群馬県,50.54207537,43.90821933
11,埼玉県,59.66803254,47.7514283
12,千葉県,59.05931336,50.42564216
13,東京都,74.75866464,74.12705172
14,神奈川県,60.37698363,52.22092873
15,新潟県,47.62806458,39.43449386
16,富山県,48.54829153,44.68763281
17,石川県,55.40959679,49.18660287
18,福井県,57.59254596,49.16125541
19,山梨県,72.66699411,54.51416468
20,長野県,48.04043101,42.47139129
21,岐阜県,50.72196918,45.7448959
22,静岡県,52.03256505,44.17455498
23,愛知県,56.36368536,50.52508084
24,三重県,47.95191451,41.30561041
25,滋賀県,53.19771307,45.64874552
26,京都府,69.75396759,66.8004187
27,大阪府,63.17580614,54.62240919
28,兵庫県,58.4913407,56.055666
29,奈良県,64.39138714,55.49179021
30,和歌山県,52.2702347,45.32571429
31,鳥取県,42.81944968,39.99231656
32,島根県,47.00432366,40.1572224
33,岡山県,52.85606306,48.77324238
34,広島県,56.22781065,53.11570377
35,山口県,39.02165196,37.06784083
36,徳島県,47.36066057,50.07633588
37,香川県,53.75485983,48.71230464
38,愛媛県,50.44315403,46.78295211
39,高知県,45.85808065,45.06213211
40,福岡県,48.66261145,46.43853531
41,佐賀県,44.49268739,36.55757576
42,長崎県,44.20124639,40.40307102
43,熊本県,42.74369893,41.09304316
44,大分県,42.90566038,35.8382643
45,宮崎県,40.74481746,37.89168279
46,鹿児島県,42.75640233,34.55416074
47,沖縄県,42.04782912,42.77939501
