code,prefecture,men,women
1,北海道,1756,229
2,青森県,456,80
3,岩手県,431,123
4,宮城県,605,141
5,秋田県,322,73
6,山形県,341,96
7,福島県,700,78
8,茨城県,696,240
9,栃木県,401,220
10,群馬県,446,136
11,埼玉県,1325,298
12,千葉県,1165,340
13,東京都,2010,702
14,神奈川県,1180,624
15,新潟県,709,114
16,富山県,252,136
17,石川県,241,141
18,福井県,220,90
19,山梨県,304,50
20,長野県,546,149
21,岐阜県,548,221
22,静岡県,852,237
23,愛知県,1375,454
24,三重県,435,181
25,滋賀県,303,128
26,京都府,555,171
27,大阪府,1526,388
28,兵庫県,1129,263
29,奈良県,306,76
30,和歌山県,295,125
31,鳥取県,162,81
32,島根県,301,62
33,岡山県,548,206
34,広島県,573,338
35,山口県,458,138
36,徳島県,282,94
37,香川県,290,107
38,愛媛県,424,80
39,高知県,266,133
40,福岡県,1103,362
41,佐賀県,240,78
42,長崎県,561,67
43,熊本県,565,112
44,大分県,386,97
45,宮崎県,397,55
46,鹿児島県,698,115
47,沖縄県,428,95
