code,prefecture,men,women
1,北海道,841,119
2,青森県,216,45
3,岩手県,230,67
4,宮城県,278,84
5,秋田県,144,36
6,山形県,196,32
7,福島県,348,41
8,茨城県,346,114
9,栃木県,234,110
10,群馬県,227,74
11,埼玉県,615,193
12,千葉県,574,180
13,東京都,975,322
14,神奈川県,534,338
15,新潟県,350,91
16,富山県,119,58
17,石川県,108,86
18,福井県,134,52
19,山梨県,156,14
20,長野県,285,65
21,岐阜県,265,89
22,静岡県,374,113
23,愛知県,746,221
24,三重県,257,85
25,滋賀県,162,57
26,京都府,243,108
27,大阪府,728,245
28,兵庫県,596,143
29,奈良県,148,41
30,和歌山県,165,65
31,鳥取県,92,24
32,島根県,171,20
33,岡山県,272,110
34,広島県,257,193
35,山口県,222,46
36,徳島県,142,22
37,香川県,111,37
38,愛媛県,223,41
39,高知県,123,59
40,福岡県,515,194
41,佐賀県,113,32
42,長崎県,281,34
43,熊本県,256,74
44,大分県,194,49
45,宮崎県,188,23
46,鹿児島県,416,64
47,沖縄県,187,66
