code,prefecture,men,women
1,北海道,75,9
2,青森県,77,27
3,岩手県,43,7
4,宮城県,93,21
5,秋田県,18,0
6,山形県,70,6
7,福島県,126,15
8,茨城県,43,6
9,栃木県,50,11
10,群馬県,59,2
11,埼玉県,102,16
12,千葉県,38,1
13,東京都,114,35
14,神奈川県,87,26
15,新潟県,51,7
16,富山県,41,3
17,石川県,47,3
18,福井県,40,10
19,山梨県,82,8
20,長野県,47,15
21,岐阜県,61,26
22,静岡県,69,29
23,愛知県,80,5
24,三重県,64,16
25,滋賀県,20,6
26,京都府,34,7
27,大阪府,43,7
28,兵庫県,51,10
29,奈良県,15,6
30,和歌山県,60,9
31,鳥取県,46,18
32,島根県,68,12
33,岡山県,79,20
34,広島県,26,6
35,山口県,73,4
36,徳島県,38,12
37,香川県,24,4
38,愛媛県,21,5
39,高知県,24,7
40,福岡県,86,13
41,佐賀県,20,2
42,長崎県,74,9
43,熊本県,47,4
44,大分県,50,4
45,宮崎県,28,2
46,鹿児島県,45,7
47,沖縄県,33,6
