code,prefecture,men,women
1,北海道,0.866496751762636,0.526962842628413
2,青森県,0.888963121325494,0.640198511166253
3,岩手県,0.916326872591186,0.645539162920281
4,宮城県,0.870070053505433,0.564661776691117
5,秋田県,0.899765010939146,0.66375367526952
6,山形県,0.907089118600526,0.707433554817276
7,福島県,0.895521846421832,0.645728754830971
8,茨城県,0.851429194850535,0.501187403200826
9,栃木県,0.872286039850944,0.543084829075743
10,群馬県,0.85734186970182,0.521600994578168
11,埼玉県,0.802376891920699,0.432424587491906
12,千葉県,0.795129831437613,0.46522669886925
13,東京都,0.866643533690609,0.60736258124581
14,神奈川県,0.824714215682792,0.449750193744126
15,新潟県,0.855908246506744,0.600882561360562
16,富山県,0.883688652009771,0.613560929350403
17,石川県,0.86162647703577,0.559320039997647
18,福井県,0.862991452991453,0.575658840440824
19,山梨県,0.84758626776101,0.521352823158498
20,長野県,0.86995712501266,0.563746508791944
21,岐阜県,0.855014995001666,0.47231994823891
22,静岡県,0.861492584163855,0.517451912686406
23,愛知県,0.830174369653382,0.464478610566138
24,三重県,0.859398523849741,0.489722610257434
25,滋賀県,0.852631092203829,0.505280085767891
26,京都府,0.787090990587181,0.497909199522103
27,大阪府,0.842282577289801,0.522797924271618
28,兵庫県,0.806675201406939,0.469136465564701
29,奈良県,0.782608695652174,0.440634701621249
30,和歌山県,0.849651324965133,0.513253869418253
31,鳥取県,0.879568442346595,0.624307151547925
32,島根県,0.868288406749945,0.583779284100369
33,岡山県,0.866698453783802,0.567538248606591
34,広島県,0.864231106923357,0.53110207005962
35,山口県,0.84720692368214,0.54351481417058
36,徳島県,0.861104527139133,0.58010436327301
37,香川県,0.855776778705488,0.589278316347668
38,愛媛県,0.873056570836288,0.542486823706572
39,高知県,0.830038022813688,0.607400401938763
40,福岡県,0.827896439281832,0.56252818078137
41,佐賀県,0.85306820226741,0.604378144584694
42,長崎県,0.849661314601104,0.591952425943422
43,熊本県,0.8118755972548,0.536729222520107
44,大分県,0.882688093498904,0.570276036804907
45,宮崎県,0.874947071277346,0.588457767194285
46,鹿児島県,0.869138495092694,0.554070960316269
47,沖縄県,0.837656502725693,0.571079097580864
