code,prefecture,men,women
1,北海道,300.2,228
2,青森県,265.7,206.2
3,岩手県,267.7,210.8
4,宮城県,309.2,232.1
5,秋田県,272.8,211
6,山形県,278,213.9
7,福島県,295.3,219.7
8,茨城県,330,242.7
9,栃木県,315.9,244.1
10,群馬県,314,233.1
11,埼玉県,327.4,251.1
12,千葉県,331,250.7
13,東京都,410.3,302.7
14,神奈川県,362.4,277.4
15,新潟県,280.8,222.8
16,富山県,312.8,244.2
17,石川県,316.7,231.8
18,福井県,299.3,232
19,山梨県,317.6,234.2
20,長野県,312.4,231.6
21,岐阜県,314,234.3
22,静岡県,318.6,236.5
23,愛知県,341.7,254.1
24,三重県,327.4,231.4
25,滋賀県,331.5,242.9
26,京都府,342.4,259.2
27,大阪府,354.9,261.2
28,兵庫県,329,252.4
29,奈良県,324,252
30,和歌山県,304.4,235.3
31,鳥取県,283.2,222.3
32,島根県,279.6,221.4
33,岡山県,305.8,229.9
34,広島県,322.9,239.2
35,山口県,307.1,232.4
36,徳島県,297,233.3
37,香川県,313.3,227.7
38,愛媛県,288.4,216.2
39,高知県,280.5,221.3
40,福岡県,316.6,232.5
41,佐賀県,283.3,216
42,長崎県,280.8,222.7
43,熊本県,294.3,219.8
44,大分県,289.4,223.5
45,宮崎県,274.3,210.4
46,鹿児島県,285.1,212.8
47,沖縄県,277.9,218.7
