code,prefecture,men,women
1,北海道,1415,1151
2,青森県,1367,1017
3,岩手県,1358,1057
4,宮城県,1432,1153
5,秋田県,1167,1160
6,山形県,1306,1157
7,福島県,1302,1076
8,茨城県,1566,1178
9,栃木県,1371,1148
10,群馬県,1593,1309
11,埼玉県,1524,1282
12,千葉県,1557,1325
13,東京都,2068,1706
14,神奈川県,1858,1419
15,新潟県,1348,1145
16,富山県,1482,1208
17,石川県,1295,1210
18,福井県,1300,1150
19,山梨県,1503,1240
20,長野県,1434,1209
21,岐阜県,1440,1216
22,静岡県,1413,1274
23,愛知県,1754,1324
24,三重県,1324,1178
25,滋賀県,1509,1245
26,京都府,1794,1437
27,大阪府,1981,1448
28,兵庫県,1515,1326
29,奈良県,1574,1215
30,和歌山県,1471,1113
31,鳥取県,1490,1068
32,島根県,1445,1187
33,岡山県,1475,1324
34,広島県,1348,1172
35,山口県,1491,1238
36,徳島県,1620,1151
37,香川県,1683,1239
38,愛媛県,1193,1115
39,高知県,1434,1066
40,福岡県,1313,1112
41,佐賀県,1621,1143
42,長崎県,1341,1056
43,熊本県,1327,1093
44,大分県,1983,1109
45,宮崎県,1239,1036
46,鹿児島県,1483,1017
47,沖縄県,1145,1179
