code,prefecture,men,women
1,北海道,32,254
2,青森県,33,218
3,岩手県,44,231
4,宮城県,45,253
5,秋田県,37,225
6,山形県,41,232
7,福島県,38,208
8,茨城県,37,252
9,栃木県,35,260
10,群馬県,40,254
11,埼玉県,42,274
12,千葉県,42,268
13,東京都,50,267
14,神奈川県,42,261
15,新潟県,38,219
16,富山県,38,238
17,石川県,37,250
18,福井県,35,248
19,山梨県,38,262
20,長野県,38,246
21,岐阜県,37,257
22,静岡県,32,269
23,愛知県,34,255
24,三重県,38,266
25,滋賀県,38,258
26,京都府,36,282
27,大阪府,38,271
28,兵庫県,38,284
29,奈良県,44,273
30,和歌山県,37,262
31,鳥取県,40,247
32,島根県,39,261
33,岡山県,37,244
34,広島県,40,265
35,山口県,41,257
36,徳島県,33,242
37,香川県,38,239
38,愛媛県,35,257
39,高知県,36,224
40,福岡県,30,263
41,佐賀県,37,252
42,長崎県,32,254
43,熊本県,30,245
44,大分県,39,249
45,宮崎県,43,232
46,鹿児島県,36,252
47,沖縄県,51,281
