code,prefecture,men,women
1,北海道,122025,18047
2,青森県,24466,3502
3,岩手県,22403,3233
4,宮城県,48528,6822
5,秋田県,19576,2252
6,山形県,22960,2350
7,福島県,41576,5143
8,茨城県,56379,7687
9,栃木県,44623,6287
10,群馬県,40773,4836
11,埼玉県,149918,21565
12,千葉県,122989,20998
13,東京都,718327,141962
14,神奈川県,196844,34457
15,新潟県,47200,4758
16,富山県,24610,2618
17,石川県,28058,3074
18,福井県,19653,2082
19,山梨県,22935,4136
20,長野県,46447,5273
21,岐阜県,44337,5957
22,静岡県,76246,10246
23,愛知県,180394,28712
24,三重県,37976,5521
25,滋賀県,26961,3803
26,京都府,65827,10584
27,大阪府,276055,52249
28,兵庫県,108085,19083
29,奈良県,25293,4510
30,和歌山県,20627,2876
31,鳥取県,11718,1982
32,島根県,14132,1592
33,岡山県,43501,6786
34,広島県,65841,11137
35,山口県,25930,3814
36,徳島県,16876,2785
37,香川県,23604,3664
38,愛媛県,30938,4157
39,高知県,15266,2292
40,福岡県,123718,23745
41,佐賀県,16313,2261
42,長崎県,26387,3757
43,熊本県,38744,6224
44,大分県,26863,5133
45,宮崎県,24836,3388
46,鹿児島県,34145,4796
47,沖縄県,34113,8783
