code,prefecture,men,women
1,北海道,1476,26
2,青森県,211,22
3,岩手県,177,26
4,宮城県,252,27
5,秋田県,280,30
6,山形県,324,30
7,福島県,213,22
8,茨城県,516,47
9,栃木県,298,26
10,群馬県,354,40
11,埼玉県,549,44
12,千葉県,495,46
13,東京都,347,42
14,神奈川県,386,57
15,新潟県,533,55
16,富山県,305,36
17,石川県,332,39
18,福井県,79,3
19,山梨県,208,22
20,長野県,403,68
21,岐阜県,222,33
22,静岡県,461,44
23,愛知県,522,94
24,三重県,218,18
25,滋賀県,217,42
26,京都府,149,14
27,大阪府,369,58
28,兵庫県,337,45
29,奈良県,26,2
30,和歌山県,249,42
31,鳥取県,115,6
32,島根県,41,5
33,岡山県,114,6
34,広島県,347,32
35,山口県,38,6
36,徳島県,272,32
37,香川県,30,3
38,愛媛県,323,35
39,高知県,117,11
40,福岡県,504,46
41,佐賀県,120,14
42,長崎県,169,17
43,熊本県,380,32
44,大分県,67,10
45,宮崎県,240,23
46,鹿児島県,258,31
47,沖縄県,40,2
