code,prefecture,men,women
1,北海道,24877,8545
2,青森県,6067,2284
3,岩手県,6453,2577
4,宮城県,7242,3124
5,秋田県,5027,1814
6,山形県,6212,2200
7,福島県,8277,3033
8,茨城県,11149,4355
9,栃木県,6701,2948
10,群馬県,7319,2215
11,埼玉県,19943,8809
12,千葉県,14444,5642
13,東京都,18748,8213
14,神奈川県,11124,5368
15,新潟県,7913,3343
16,富山県,4025,1345
17,石川県,4509,1822
18,福井県,4523,1982
19,山梨県,5319,1843
20,長野県,12750,5062
21,岐阜県,10698,4384
22,静岡県,10093,4277
23,愛知県,16480,6674
24,三重県,6356,2662
25,滋賀県,5908,3116
26,京都府,6211,2883
27,大阪府,15449,7139
28,兵庫県,12744,5783
29,奈良県,5120,1849
30,和歌山県,5572,1988
31,鳥取県,2849,1448
32,島根県,4260,1731
33,岡山県,7679,3681
34,広島県,6387,2693
35,山口県,5239,2317
36,徳島県,4604,1813
37,香川県,3839,1640
38,愛媛県,7164,3007
39,高知県,4481,2020
40,福岡県,13231,7028
41,佐賀県,3525,1574
42,長崎県,6884,2262
43,熊本県,10419,3417
44,大分県,4934,2084
45,宮崎県,4218,1635
46,鹿児島県,9344,3213
47,沖縄県,4287,1969
