code,prefecture,men,women
1,北海道,6618,1062
2,青森県,1365,236
3,岩手県,1063,210
4,宮城県,2258,547
5,秋田県,1001,218
6,山形県,853,179
7,福島県,1780,272
8,茨城県,2267,328
9,栃木県,1143,192
10,群馬県,1253,185
11,埼玉県,4388,804
12,千葉県,3414,474
13,東京都,4136,867
14,神奈川県,5019,1048
15,新潟県,1200,178
16,富山県,1271,401
17,石川県,1024,307
18,福井県,692,205
19,山梨県,798,138
20,長野県,1659,219
21,岐阜県,1998,369
22,静岡県,2181,405
23,愛知県,4824,1069
24,三重県,1945,504
25,滋賀県,1309,418
26,京都府,1861,451
27,大阪府,5389,1148
28,兵庫県,4475,1038
29,奈良県,1236,353
30,和歌山県,1124,305
31,鳥取県,441,149
32,島根県,799,229
33,岡山県,1600,287
34,広島県,1965,407
35,山口県,1364,250
36,徳島県,743,229
37,香川県,606,118
38,愛媛県,990,89
39,高知県,547,136
40,福岡県,2836,500
41,佐賀県,680,117
42,長崎県,1160,153
43,熊本県,1535,208
44,大分県,997,149
45,宮崎県,743,101
46,鹿児島県,1676,203
47,沖縄県,1193,208
