code,prefecture,men,women
1,北海道,3756,145
2,青森県,711,42
3,岩手県,1036,123
4,宮城県,764,68
5,秋田県,648,75
6,山形県,929,74
7,福島県,1123,63
8,茨城県,1164,127
9,栃木県,677,68
10,群馬県,910,100
11,埼玉県,1770,246
12,千葉県,1307,186
13,東京都,1933,296
14,神奈川県,848,107
15,新潟県,816,58
16,富山県,494,36
17,石川県,418,34
18,福井県,389,40
19,山梨県,514,55
20,長野県,1749,147
21,岐阜県,875,80
22,静岡県,962,90
23,愛知県,1365,153
24,三重県,776,87
25,滋賀県,446,48
26,京都府,663,84
27,大阪府,1254,164
28,兵庫県,1160,137
29,奈良県,774,68
30,和歌山県,526,38
31,鳥取県,317,51
32,島根県,516,54
33,岡山県,429,85
34,広島県,762,65
35,山口県,547,77
36,徳島県,534,51
37,香川県,373,52
38,愛媛県,471,37
39,高知県,696,85
40,福岡県,1073,220
41,佐賀県,290,66
42,長崎県,636,53
43,熊本県,1542,121
44,大分県,476,42
45,宮崎県,697,60
46,鹿児島県,1070,59
47,沖縄県,425,38
