code,prefecture,men,women
1,北海道,714,392
2,青森県,454,196
3,岩手県,479,205
4,宮城県,527,239
5,秋田県,533,176
6,山形県,401,228
7,福島県,486,252
8,茨城県,520,300
9,栃木県,429,240
10,群馬県,391,223
11,埼玉県,558,374
12,千葉県,727,319
13,東京都,1082,620
14,神奈川県,819,356
15,新潟県,533,306
16,富山県,459,200
17,石川県,364,269
18,福井県,303,180
19,山梨県,409,168
20,長野県,459,299
21,岐阜県,471,338
22,静岡県,557,285
23,愛知県,735,398
24,三重県,502,240
25,滋賀県,353,221
26,京都府,552,295
27,大阪府,926,442
28,兵庫県,680,309
29,奈良県,411,190
30,和歌山県,462,211
31,鳥取県,215,164
32,島根県,372,273
33,岡山県,485,245
34,広島県,578,260
35,山口県,431,216
36,徳島県,288,299
37,香川県,388,199
38,愛媛県,440,226
39,高知県,374,161
40,福岡県,658,346
41,佐賀県,304,218
42,長崎県,470,271
43,熊本県,493,230
44,大分県,428,202
45,宮崎県,348,220
46,鹿児島県,532,326
47,沖縄県,387,202
