code,prefecture,men,women
1,北海道,1000,77
2,青森県,539,36
3,岩手県,653,58
4,宮城県,713,60
5,秋田県,318,21
6,山形県,494,84
7,福島県,845,62
8,茨城県,662,60
9,栃木県,457,50
10,群馬県,768,95
11,埼玉県,981,106
12,千葉県,634,55
13,東京都,3560,722
14,神奈川県,872,136
15,新潟県,763,88
16,富山県,602,107
17,石川県,751,94
18,福井県,447,79
19,山梨県,574,74
20,長野県,754,66
21,岐阜県,758,142
22,静岡県,889,102
23,愛知県,1314,155
24,三重県,680,72
25,滋賀県,493,56
26,京都府,559,98
27,大阪府,792,73
28,兵庫県,757,119
29,奈良県,391,36
30,和歌山県,539,44
31,鳥取県,400,108
32,島根県,584,94
33,岡山県,703,75
34,広島県,390,45
35,山口県,474,45
36,徳島県,427,62
37,香川県,357,57
38,愛媛県,390,37
39,高知県,328,48
40,福岡県,553,97
41,佐賀県,364,49
42,長崎県,399,61
43,熊本県,473,51
44,大分県,515,43
45,宮崎県,381,29
46,鹿児島県,512,58
47,沖縄県,452,79
