code,prefecture,men,women
1,北海道,537,272
2,青森県,143,69
3,岩手県,218,118
4,宮城県,135,43
5,秋田県,86,40
6,山形県,100,60
7,福島県,191,83
8,茨城県,218,131
9,栃木県,133,69
10,群馬県,154,70
11,埼玉県,372,253
12,千葉県,265,120
13,東京都,1238,870
14,神奈川県,462,248
15,新潟県,159,83
16,富山県,114,55
17,石川県,120,68
18,福井県,136,66
19,山梨県,81,45
20,長野県,192,123
21,岐阜県,143,100
22,静岡県,241,122
23,愛知県,507,285
24,三重県,86,64
25,滋賀県,158,110
26,京都府,92,68
27,大阪府,432,272
28,兵庫県,319,189
29,奈良県,137,82
30,和歌山県,123,70
31,鳥取県,95,66
32,島根県,126,47
33,岡山県,142,97
34,広島県,196,154
35,山口県,131,65
36,徳島県,112,66
37,香川県,79,68
38,愛媛県,146,102
39,高知県,107,51
40,福岡県,261,140
41,佐賀県,105,55
42,長崎県,113,76
43,熊本県,136,71
44,大分県,151,133
45,宮崎県,196,75
46,鹿児島県,153,73
47,沖縄県,169,76
