code,prefecture,men,women
1,北海道,0.074486301,1
2,青森県,0.196185286,0.992424242
3,岩手県,0.116216216,1
4,宮城県,0.090415913,1
5,秋田県,0.115044248,1
6,山形県,0.138235294,1.007905138
7,福島県,0.121771218,1
8,茨城県,0.091463415,0.99825784
9,栃木県,0.069632495,1
10,群馬県,0.075875486,1.002309469
11,埼玉県,0.15698324,1
12,千葉県,0.090597117,0.994840929
13,東京都,0.087528174,1.01273306
14,神奈川県,0.081967213,0.906951872
15,新潟県,0.093537415,1
16,富山県,0.097982709,0.993333333
17,石川県,0.084598698,0.997109827
18,福井県,0.139275766,1
19,山梨県,0.040880503,1
20,長野県,0.065878378,0.973544974
21,岐阜県,0.151624549,1.00203252
22,静岡県,0.108967083,0.990115321
23,愛知県,0.084546473,1.025603511
24,三重県,0.120689655,1.002518892
25,滋賀県,0.105042017,0.972043011
26,京都府,0.072056239,0.980295567
27,大阪府,0.067087609,1.004267425
28,兵庫県,0.048334422,0.996347032
29,奈良県,0.08678501,0.994334278
30,和歌山県,0.059957173,1.003745318
31,鳥取県,0.290734824,1
32,島根県,0.158054711,0.974169742
33,岡山県,0.108742004,1
34,広島県,0.122019635,0.996007984
35,山口県,0.110831234,0.996254682
36,徳島県,0.118081181,1
37,香川県,0.069518717,1
38,愛媛県,0.048101266,0.990196078
39,高知県,0.228571429,1
40,福岡県,0.057358491,1.003546099
41,佐賀県,0.060344828,1
42,長崎県,0.074235808,1
43,熊本県,0.039033457,1
44,大分県,0.091922006,1
45,宮崎県,0.19858156,1
46,鹿児島県,0.041420118,1
47,沖縄県,0.130013831,0.996825397
