code,prefecture,men,women
1,北海道,64,4
2,青森県,49,11
3,岩手県,64,13
4,宮城県,52,7
5,秋田県,57,4
6,山形県,54,6
7,福島県,44,10
8,茨城県,38,14
9,栃木県,46,10
10,群馬県,41,7
11,埼玉県,62,11
12,千葉県,42,10
13,東京都,66,8
14,神奈川県,50,7
15,新潟県,63,14
16,富山県,55,12
17,石川県,65,5
18,福井県,49,7
19,山梨県,61,3
20,長野県,65,15
21,岐阜県,49,12
22,静岡県,56,4
23,愛知県,65,4
24,三重県,56,8
25,滋賀県,46,16
26,京都府,52,14
27,大阪府,54,7
28,兵庫県,49,7
29,奈良県,54,6
30,和歌山県,48,7
31,鳥取県,40,27
32,島根県,43,29
33,岡山県,51,8
34,広島県,56,3
35,山口県,53,7
36,徳島県,42,39
37,香川県,51,9
38,愛媛県,53,7
39,高知県,53,6
40,福岡県,55,6
41,佐賀県,51,19
42,長崎県,57,11
43,熊本県,49,8
44,大分県,54,5
45,宮崎県,48,7
46,鹿児島県,53,10
47,沖縄県,45,10
