code,prefecture,men,women
1,北海道,84,12
2,青森県,43,3
3,岩手県,39,7
4,宮城県,51,7
5,秋田県,38,5
6,山形県,37,2
7,福島県,53,5
8,茨城県,54,5
9,栃木県,38,6
10,群馬県,41,5
11,埼玉県,75,11
12,千葉県,73,11
13,東京都,85,38
14,神奈川県,84,19
15,新潟県,46,6
16,富山県,34,4
17,石川県,40,3
18,福井県,32,2
19,山梨県,34,1
20,長野県,49,8
21,岐阜県,42,4
22,静岡県,58,9
23,愛知県,93,6
24,三重県,44,5
25,滋賀県,36,7
26,京都府,47,13
27,大阪府,78,6
28,兵庫県,68,12
29,奈良県,38,3
30,和歌山県,38,3
31,鳥取県,29,5
32,島根県,31,3
33,岡山県,46,8
34,広島県,54,4
35,山口県,40,7
36,徳島県,32,4
37,香川県,39,2
38,愛媛県,41,4
39,高知県,31,5
40,福岡県,76,7
41,佐賀県,35,2
42,長崎県,40,6
43,熊本県,47,1
44,大分県,41,2
45,宮崎県,34,3
46,鹿児島県,44,5
47,沖縄県,41,7
