code,prefecture,men,women
1,北海道,823,113
2,青森県,211,46
3,岩手県,211,76
4,宮城県,268,88
5,秋田県,138,36
6,山形県,183,41
7,福島県,337,43
8,茨城県,321,123
9,栃木県,222,115
10,群馬県,228,72
11,埼玉県,604,197
12,千葉県,546,203
13,東京都,981,317
14,神奈川県,514,357
15,新潟県,357,81
16,富山県,110,66
17,石川県,94,99
18,福井県,127,58
19,山梨県,153,17
20,長野県,270,82
21,岐阜県,247,105
22,静岡県,364,120
23,愛知県,707,259
24,三重県,245,98
25,滋賀県,161,58
26,京都府,234,114
27,大阪府,703,261
28,兵庫県,574,160
29,奈良県,139,42
30,和歌山県,162,68
31,鳥取県,88,27
32,島根県,173,18
33,岡山県,258,117
34,広島県,247,193
35,山口県,206,56
36,徳島県,139,24
37,香川県,111,35
38,愛媛県,215,49
39,高知県,124,57
40,福岡県,498,207
41,佐賀県,107,38
42,長崎県,277,33
43,熊本県,250,79
44,大分県,195,47
45,宮崎県,182,26
46,鹿児島県,409,67
47,沖縄県,181,70
