code,prefecture,men,women
1,北海道,499,39
2,青森県,129,9
3,岩手県,133,7
4,宮城県,160,30
5,秋田県,93,8
6,山形県,87,3
7,福島県,197,5
8,茨城県,175,29
9,栃木県,135,14
10,群馬県,144,10
11,埼玉県,371,45
12,千葉県,329,31
13,東京都,562,67
14,神奈川県,334,75
15,新潟県,207,17
16,富山県,64,10
17,石川県,66,16
18,福井県,56,10
19,山梨県,77,4
20,長野県,157,19
21,岐阜県,158,18
22,静岡県,232,21
23,愛知県,388,27
24,三重県,135,14
25,滋賀県,83,10
26,京都府,138,20
27,大阪府,389,65
28,兵庫県,300,32
29,奈良県,86,6
30,和歌山県,99,7
31,鳥取県,48,3
32,島根県,83,7
33,岡山県,129,23
34,広島県,187,34
35,山口県,128,11
36,徳島県,68,9
37,香川県,59,3
38,愛媛県,117,7
39,高知県,75,12
40,福岡県,288,39
41,佐賀県,76,5
42,長崎県,142,11
43,熊本県,152,6
44,大分県,109,7
45,宮崎県,115,7
46,鹿児島県,170,10
47,沖縄県,104,16
