code,prefecture,men,women
1,北海道,258,11
2,青森県,57,11
3,岩手県,72,4
4,宮城県,84,7
5,秋田県,45,4
6,山形県,48,9
7,福島県,86,4
8,茨城県,104,12
9,栃木県,61,8
10,群馬県,72,5
11,埼玉県,176,14
12,千葉県,171,7
13,東京都,353,46
14,神奈川県,187,38
15,新潟県,92,6
16,富山県,42,5
17,石川県,49,6
18,福井県,30,2
19,山梨県,34,6
20,長野県,86,9
21,岐阜県,76,7
22,静岡県,115,17
23,愛知県,192,23
24,三重県,62,6
25,滋賀県,52,3
26,京都府,85,8
27,大阪府,229,32
28,兵庫県,188,17
29,奈良県,48,4
30,和歌山県,37,6
31,鳥取県,30,2
32,島根県,41,5
33,岡山県,74,10
34,広島県,112,12
35,山口県,64,3
36,徳島県,27,4
37,香川県,37,3
38,愛媛県,49,4
39,高知県,37,6
40,福岡県,149,20
41,佐賀県,39,2
42,長崎県,73,5
43,熊本県,62,6
44,大分県,52,1
45,宮崎県,47,2
46,鹿児島県,81,7
47,沖縄県,55,8
