code,prefecture,men,women
1,北海道,1732,226
2,青森県,449,73
3,岩手県,410,132
4,宮城県,586,151
5,秋田県,302,88
6,山形県,328,104
7,福島県,675,87
8,茨城県,672,254
9,栃木県,390,222
10,群馬県,426,150
11,埼玉県,1319,302
12,千葉県,1173,328
13,東京都,2015,717
14,神奈川県,1171,630
15,新潟県,704,115
16,富山県,241,139
17,石川県,238,143
18,福井県,212,94
19,山梨県,284,68
20,長野県,548,141
21,岐阜県,522,238
22,静岡県,822,264
23,愛知県,1371,458
24,三重県,437,184
25,滋賀県,295,135
26,京都府,546,181
27,大阪府,1521,375
28,兵庫県,1108,278
29,奈良県,293,80
30,和歌山県,282,132
31,鳥取県,163,79
32,島根県,292,66
33,岡山県,526,217
34,広島県,556,339
35,山口県,436,146
36,徳島県,252,102
37,香川県,271,122
38,愛媛県,419,80
39,高知県,246,147
40,福岡県,1090,381
41,佐賀県,230,84
42,長崎県,554,75
43,熊本県,544,128
44,大分県,383,95
45,宮崎県,387,68
46,鹿児島県,696,117
47,沖縄県,435,97
