code,prefecture,men,women
1,北海道,77,10
2,青森県,71,25
3,岩手県,44,9
4,宮城県,91,22
5,秋田県,17,0
6,山形県,72,5
7,福島県,129,16
8,茨城県,37,7
9,栃木県,47,11
10,群馬県,85,9
11,埼玉県,105,20
12,千葉県,30,2
13,東京都,116,38
14,神奈川県,90,24
15,新潟県,43,9
16,富山県,37,7
17,石川県,41,4
18,福井県,39,11
19,山梨県,76,14
20,長野県,44,13
21,岐阜県,61,28
22,静岡県,81,19
23,愛知県,54,4
24,三重県,64,17
25,滋賀県,21,6
26,京都府,34,6
27,大阪府,47,6
28,兵庫県,45,12
29,奈良県,17,6
30,和歌山県,54,13
31,鳥取県,47,19
32,島根県,68,13
33,岡山県,80,21
34,広島県,25,6
35,山口県,75,3
36,徳島県,62,15
37,香川県,26,1
38,愛媛県,20,6
39,高知県,21,9
40,福岡県,89,19
41,佐賀県,34,4
42,長崎県,72,13
43,熊本県,47,4
44,大分県,50,4
45,宮崎県,28,2
46,鹿児島県,43,9
47,沖縄県,33,6
