code,prefecture,men,women
1,北海道,302.1,227.4
2,青森県,267.3,212.9
3,岩手県,270.6,214.1
4,宮城県,307.2,231.3
5,秋田県,270.6,212.2
6,山形県,285.4,217.2
7,福島県,295.9,222.4
8,茨城県,323.6,239.7
9,栃木県,316.7,238.1
10,群馬県,306.8,237.4
11,埼玉県,331.7,253.7
12,千葉県,325.6,257.1
13,東京都,396.8,302.5
14,神奈川県,365.3,276.1
15,新潟県,296.8,231.8
16,富山県,302.9,236.4
17,石川県,320.9,240
18,福井県,305,232.3
19,山梨県,311,230.2
20,長野県,311.6,230.7
21,岐阜県,314.6,234
22,静岡県,311.2,234.8
23,愛知県,346.4,247.9
24,三重県,329.2,233.9
25,滋賀県,316.8,235.9
26,京都府,340.8,264.1
27,大阪府,357.6,268.7
28,兵庫県,340,252.6
29,奈良県,317.1,248.6
30,和歌山県,320,228.9
31,鳥取県,271.3,226.2
32,島根県,283.8,224.2
33,岡山県,304.1,234.9
34,広島県,317.7,244.9
35,山口県,307.8,236.1
36,徳島県,295.9,232.9
37,香川県,310.3,236.6
38,愛媛県,292.6,227.4
39,高知県,294.9,234.1
40,福岡県,318.5,239.4
41,佐賀県,280.3,214.4
42,長崎県,293.4,222.5
43,熊本県,288.8,225
44,大分県,291.2,216.2
45,宮崎県,274.7,204.8
46,鹿児島県,288,218.1
47,沖縄県,272.9,222.1
