code,prefecture,men,women
1,北海道,1415,1209
2,青森県,1474,1149
3,岩手県,1191,1043
4,宮城県,1337,1129
5,秋田県,1101,1007
6,山形県,1249,1084
7,福島県,1241,1073
8,茨城県,1496,1202
9,栃木県,1297,1187
10,群馬県,1435,1227
11,埼玉県,1623,1245
12,千葉県,1577,1266
13,東京都,2062,1607
14,神奈川県,1681,1391
15,新潟県,1278,1072
16,富山県,1606,1165
17,石川県,1237,1229
18,福井県,1375,1100
19,山梨県,1536,1219
20,長野県,1298,1157
21,岐阜県,1296,1133
22,静岡県,1893,1192
23,愛知県,1644,1252
24,三重県,1355,1261
25,滋賀県,1709,1218
26,京都府,1967,1404
27,大阪府,1605,1357
28,兵庫県,1667,1296
29,奈良県,1465,1188
30,和歌山県,1544,1152
31,鳥取県,1813,1244
32,島根県,1757,1077
33,岡山県,2079,1229
34,広島県,1501,1233
35,山口県,1372,1152
36,徳島県,1448,1109
37,香川県,1233,1173
38,愛媛県,1119,1069
39,高知県,1558,1093
40,福岡県,1440,1204
41,佐賀県,1664,1161
42,長崎県,1403,1057
43,熊本県,1396,1121
44,大分県,1230,1083
45,宮崎県,1259,1048
46,鹿児島県,1177,1030
47,沖縄県,1160,1192
