code,prefecture,men,women
1,北海道,1458,31
2,青森県,208,24
3,岩手県,172,24
4,宮城県,243,28
5,秋田県,277,30
6,山形県,326,33
7,福島県,183,22
8,茨城県,510,48
9,栃木県,301,28
10,群馬県,358,41
11,埼玉県,548,44
12,千葉県,484,47
13,東京都,344,42
14,神奈川県,378,59
15,新潟県,451,49
16,富山県,302,35
17,石川県,333,39
18,福井県,87,3
19,山梨県,210,22
20,長野県,393,66
21,岐阜県,220,37
22,静岡県,293,28
23,愛知県,524,94
24,三重県,213,19
25,滋賀県,216,41
26,京都府,146,16
27,大阪府,362,63
28,兵庫県,336,45
29,奈良県,26,2
30,和歌山県,249,42
31,鳥取県,97,7
32,島根県,40,6
33,岡山県,113,7
34,広島県,335,34
35,山口県,38,6
36,徳島県,262,31
37,香川県,30,3
38,愛媛県,321,37
39,高知県,94,11
40,福岡県,503,46
41,佐賀県,120,14
42,長崎県,169,17
43,熊本県,381,31
44,大分県,69,10
45,宮崎県,239,24
46,鹿児島県,257,31
47,沖縄県,38,3
