code,prefecture,men,women
1,北海道,1013,82
2,青森県,529,40
3,岩手県,660,66
4,宮城県,716,74
5,秋田県,315,26
6,山形県,487,90
7,福島県,834,73
8,茨城県,657,66
9,栃木県,440,55
10,群馬県,761,113
11,埼玉県,971,118
12,千葉県,640,55
13,東京都,3598,727
14,神奈川県,854,141
15,新潟県,763,94
16,富山県,600,115
17,石川県,749,96
18,福井県,458,91
19,山梨県,575,72
20,長野県,743,72
21,岐阜県,749,148
22,静岡県,886,112
23,愛知県,1313,170
24,三重県,670,79
25,滋賀県,493,62
26,京都府,570,109
27,大阪府,798,78
28,兵庫県,739,123
29,奈良県,375,41
30,和歌山県,512,56
31,鳥取県,419,118
32,島根県,572,99
33,岡山県,694,85
34,広島県,390,52
35,山口県,483,43
36,徳島県,417,71
37,香川県,358,62
38,愛媛県,382,42
39,高知県,312,46
40,福岡県,555,102
41,佐賀県,362,54
42,長崎県,406,63
43,熊本県,468,52
44,大分県,475,44
45,宮崎県,378,32
46,鹿児島県,514,61
47,沖縄県,440,88
