code,prefecture,men,women
1,北海道,729,393
2,青森県,447,202
3,岩手県,949,516
4,宮城県,538,246
5,秋田県,522,183
6,山形県,403,227
7,福島県,486,256
8,茨城県,491,323
9,栃木県,413,228
10,群馬県,389,237
11,埼玉県,561,364
12,千葉県,706,316
13,東京都,1091,650
14,神奈川県,833,357
15,新潟県,531,303
16,富山県,455,203
17,石川県,366,274
18,福井県,308,186
19,山梨県,413,165
20,長野県,465,306
21,岐阜県,462,339
22,静岡県,548,286
23,愛知県,742,406
24,三重県,502,240
25,滋賀県,375,233
26,京都府,564,273
27,大阪府,939,478
28,兵庫県,655,329
29,奈良県,401,202
30,和歌山県,459,220
31,鳥取県,215,167
32,島根県,379,289
33,岡山県,465,246
34,広島県,598,260
35,山口県,429,223
36,徳島県,286,302
37,香川県,380,202
38,愛媛県,449,220
39,高知県,385,176
40,福岡県,655,345
41,佐賀県,370,219
42,長崎県,470,264
43,熊本県,477,243
44,大分県,423,210
45,宮崎県,352,216
46,鹿児島県,512,319
47,沖縄県,402,215
