code,prefecture,men,women
1,北海道,62,7
2,青森県,47,13
3,岩手県,65,12
4,宮城県,52,6
5,秋田県,55,6
6,山形県,55,6
7,福島県,42,12
8,茨城県,38,14
9,栃木県,44,12
10,群馬県,41,12
11,埼玉県,56,17
12,千葉県,41,12
13,東京都,65,22
14,神奈川県,49,7
15,新潟県,64,13
16,富山県,56,11
17,石川県,60,9
18,福井県,46,10
19,山梨県,63,2
20,長野県,65,15
21,岐阜県,44,17
22,静岡県,56,4
23,愛知県,62,7
24,三重県,56,9
25,滋賀県,41,21
26,京都府,53,13
27,大阪府,53,8
28,兵庫県,49,7
29,奈良県,53,8
30,和歌山県,47,8
31,鳥取県,40,29
32,島根県,42,31
33,岡山県,50,9
34,広島県,56,17
35,山口県,50,10
36,徳島県,43,38
37,香川県,50,10
38,愛媛県,53,7
39,高知県,54,6
40,福岡県,48,13
41,佐賀県,51,18
42,長崎県,59,9
43,熊本県,46,11
44,大分県,54,5
45,宮崎県,46,9
46,鹿児島県,40,17
47,沖縄県,44,12
