code,prefecture,men,women
1,北海道,0.151193634,1.010830325
2,青森県,0.255244755,1
3,岩手県,0.218666667,0.99751861
4,宮城県,0.132827324,1.006993007
5,秋田県,0.422907489,1
6,山形県,0.30458221,0.988095238
7,福島県,0.260127932,0.996753247
8,茨城県,0.153342071,1.014285714
9,栃木県,0.107003891,1
10,群馬県,0.124573379,0.993227991
11,埼玉県,0.201824401,0.99751861
12,千葉県,0.163976759,0.995659722
13,東京都,0.091594828,1.121837894
14,神奈川県,0.145479266,1
15,新潟県,0.148031496,1.008602151
16,富山県,0.172043011,0.99704142
17,石川県,0.153301887,1
18,福井県,0.264788732,1
19,山梨県,0.050955414,1
20,長野県,0.080617496,1
21,岐阜県,0.178010471,1
22,静岡県,0.138694639,0.996732026
23,愛知県,0.159443553,0.99724328
24,三重県,0.171075838,1
25,滋賀県,0.205825243,1
26,京都府,0.189964158,1.019047619
27,大阪府,0.174839228,1.100566572
28,兵庫県,0.085981308,0.996244131
29,奈良県,0.186440678,1
30,和歌山県,0.088992974,1
31,鳥取県,0.443181818,1
32,島根県,0.210059172,1
33,岡山県,0.236790607,1
34,広島県,0.185758514,0.978768577
35,山口県,0.131519274,1.003773585
36,徳島県,0.131868132,1.003584229
37,香川県,0.110481586,1
38,愛媛県,0.1,1
39,高知県,0.345394737,1
40,福岡県,0.080152672,1.024271845
41,佐賀県,0.098092643,1
42,長崎県,0.129787234,1
43,熊本県,0.0609319,1
44,大分県,0.230769231,1
45,宮崎県,0.297423888,1.014619883
46,鹿児島県,0.09057971,1
47,沖縄県,0.199134199,1
