code,prefecture,men,women
1,北海道,6611,1079
2,青森県,1338,249
3,岩手県,1078,215
4,宮城県,2199,579
5,秋田県,1016,236
6,山形県,863,197
7,福島県,1746,277
8,茨城県,2266,351
9,栃木県,1135,207
10,群馬県,1270,208
11,埼玉県,4462,846
12,千葉県,3373,503
13,東京都,4166,875
14,神奈川県,5009,1084
15,新潟県,1212,212
16,富山県,1294,428
17,石川県,1000,296
18,福井県,706,225
19,山梨県,804,145
20,長野県,1649,236
21,岐阜県,2037,397
22,静岡県,2207,382
23,愛知県,4697,982
24,三重県,1896,525
25,滋賀県,1294,423
26,京都府,2307,567
27,大阪府,5330,1188
28,兵庫県,4473,1091
29,奈良県,1220,359
30,和歌山県,1095,307
31,鳥取県,436,164
32,島根県,810,228
33,岡山県,1664,330
34,広島県,1933,441
35,山口県,1380,254
36,徳島県,776,239
37,香川県,650,125
38,愛媛県,1022,104
39,高知県,561,135
40,福岡県,2846,553
41,佐賀県,685,120
42,長崎県,1151,153
43,熊本県,1501,228
44,大分県,940,161
45,宮崎県,735,106
46,鹿児島県,1677,231
47,沖縄県,1185,221
