code,prefecture,men,women
1,北海道,24855,8681
2,青森県,6186,2351
3,岩手県,6435,2657
4,宮城県,6994,2988
5,秋田県,4868,1860
6,山形県,6258,2249
7,福島県,8526,3132
8,茨城県,10986,4337
9,栃木県,6703,3022
10,群馬県,6877,2179
11,埼玉県,19189,8588
12,千葉県,14312,5652
13,東京都,19404,8597
14,神奈川県,11459,5458
15,新潟県,7716,3249
16,富山県,3594,1188
17,石川県,4302,1755
18,福井県,4371,1964
19,山梨県,5406,1915
20,長野県,11813,5000
21,岐阜県,10310,4344
22,静岡県,10288,4439
23,愛知県,16386,6930
24,三重県,6484,2724
25,滋賀県,5815,3057
26,京都府,6196,2927
27,大阪府,15236,7195
28,兵庫県,12074,5445
29,奈良県,4831,1719
30,和歌山県,5652,2074
31,鳥取県,2446,1245
32,島根県,4287,1759
33,岡山県,7526,3566
34,広島県,6308,2564
35,山口県,5200,2318
36,徳島県,4342,1710
37,香川県,3784,1689
38,愛媛県,7271,3100
39,高知県,4571,2127
40,福岡県,12825,7012
41,佐賀県,3459,1528
42,長崎県,7260,2358
43,熊本県,9963,3551
44,大分県,5173,2232
45,宮崎県,4181,1654
46,鹿児島県,8743,3014
47,沖縄県,4033,1963
