code,prefecture,men,women
1,北海道,3690,157
2,青森県,692,39
3,岩手県,991,161
4,宮城県,793,72
5,秋田県,659,84
6,山形県,922,93
7,福島県,1163,85
8,茨城県,1118,134
9,栃木県,623,74
10,群馬県,949,111
11,埼玉県,1782,247
12,千葉県,1335,217
13,東京都,1843,304
14,神奈川県,837,103
15,新潟県,837,77
16,富山県,466,52
17,石川県,410,40
18,福井県,408,51
19,山梨県,497,66
20,長野県,1691,153
21,岐阜県,872,88
22,静岡県,946,95
23,愛知県,1326,183
24,三重県,755,79
25,滋賀県,445,57
26,京都府,665,93
27,大阪府,1226,192
28,兵庫県,1079,148
29,奈良県,764,75
30,和歌山県,628,60
31,鳥取県,311,64
32,島根県,494,74
33,岡山県,438,93
34,広島県,721,68
35,山口県,547,77
36,徳島県,530,56
37,香川県,354,51
38,愛媛県,453,53
39,高知県,677,80
40,福岡県,1116,236
41,佐賀県,319,75
42,長崎県,636,52
43,熊本県,1582,140
44,大分県,431,46
45,宮崎県,638,56
46,鹿児島県,1108,69
47,沖縄県,447,41
