code,prefecture,men,women
1,北海道,60,16
2,青森県,76,0
3,岩手県,76,0
4,宮城県,76,0
5,秋田県,76,0
6,山形県,62,14
7,福島県,76,0
8,茨城県,76,0
9,栃木県,76,0
10,群馬県,76,0
11,埼玉県,76,0
12,千葉県,68,8
13,東京都,69,7
14,神奈川県,76,0
15,新潟県,76,0
16,富山県,76,0
17,石川県,76,0
18,福井県,76,0
19,山梨県,76,0
20,長野県,76,0
21,岐阜県,76,0
22,静岡県,76,0
23,愛知県,76,0
24,三重県,76,0
25,滋賀県,68,8
26,京都府,76,0
27,大阪府,68,8
28,兵庫県,76,0
29,奈良県,76,0
30,和歌山県,76,0
31,鳥取県,76,0
32,島根県,76,0
33,岡山県,76,0
34,広島県,76,0
35,山口県,76,0
36,徳島県,76,0
37,香川県,76,0
38,愛媛県,76,0
39,高知県,76,0
40,福岡県,76,0
41,佐賀県,76,0
42,長崎県,76,0
43,熊本県,68,8
44,大分県,76,0
45,宮崎県,76,0
46,鹿児島県,76,0
47,沖縄県,51,0
