code,prefecture,men,women
1,北海道,83,17
2,青森県,41,7
3,岩手県,43,5
4,宮城県,49,10
5,秋田県,35,6
6,山形県,37,6
7,福島県,52,6
8,茨城県,54,6
9,栃木県,41,9
10,群馬県,43,7
11,埼玉県,78,15
12,千葉県,81,14
13,東京都,82,37
14,神奈川県,85,19
15,新潟県,48,5
16,富山県,36,4
17,石川県,37,4
18,福井県,35,2
19,山梨県,35,2
20,長野県,46,11
21,岐阜県,40,6
22,静岡県,57,10
23,愛知県,93,8
24,三重県,42,6
25,滋賀県,38,6
26,京都府,47,13
27,大阪府,66,13
28,兵庫県,73,13
29,奈良県,39,4
30,和歌山県,39,3
31,鳥取県,29,5
32,島根県,31,5
33,岡山県,43,12
34,広島県,56,8
35,山口県,39,8
36,徳島県,35,3
37,香川県,31,9
38,愛媛県,43,4
39,高知県,31,6
40,福岡県,74,13
41,佐賀県,34,3
42,長崎県,39,7
43,熊本県,44,5
44,大分県,41,2
45,宮崎県,35,4
46,鹿児島県,40,11
47,沖縄県,41,7
