code,prefecture,men,women
1,北海道,24387,8813
2,青森県,5806,2142
3,岩手県,6299,2651
4,宮城県,6949,3074
5,秋田県,4988,1934
6,山形県,6206,2328
7,福島県,8075,3056
8,茨城県,10821,4393
9,栃木県,6505,2930
10,群馬県,6976,2197
11,埼玉県,19259,8858
12,千葉県,14556,5859
13,東京都,19293,8902
14,神奈川県,11677,5930
15,新潟県,7556,3207
16,富山県,3533,1192
17,石川県,4043,1764
18,福井県,4298,1921
19,山梨県,5380,1911
20,長野県,12494,5429
21,岐阜県,10255,4381
22,静岡県,10604,4615
23,愛知県,16535,6993
24,三重県,6262,2672
25,滋賀県,5667,3124
26,京都府,6208,3103
27,大阪府,15008,7303
28,兵庫県,12139,5638
29,奈良県,5288,2066
30,和歌山県,5872,2214
31,鳥取県,2603,1378
32,島根県,4304,1833
33,岡山県,7365,3598
34,広島県,6026,2562
35,山口県,5261,2378
36,徳島県,4303,1798
37,香川県,3919,1743
38,愛媛県,7008,3136
39,高知県,4293,1987
40,福岡県,12670,7006
41,佐賀県,3255,1521
42,長崎県,7298,2477
43,熊本県,10108,3536
44,大分県,4851,2214
45,宮崎県,4278,1704
46,鹿児島県,8736,3107
47,沖縄県,4106,2005
