code,prefecture,men,women
1,北海道,1922,309
2,青森県,509,55
3,岩手県,483,79
4,宮城県,533,88
5,秋田県,376,43
6,山形県,436,56
7,福島県,768,80
8,茨城県,672,114
9,栃木県,408,69
10,群馬県,478,69
11,埼玉県,950,288
12,千葉県,911,220
13,東京都,1132,493
14,神奈川県,575,177
15,新潟県,479,80
16,富山県,231,28
17,石川県,270,30
18,福井県,256,33
19,山梨県,360,40
20,長野県,839,181
21,岐阜県,515,83
22,静岡県,548,107
23,愛知県,918,199
24,三重県,394,89
25,滋賀県,295,59
26,京都府,385,102
27,大阪府,685,208
28,兵庫県,686,159
29,奈良県,401,72
30,和歌山県,345,49
31,鳥取県,234,39
32,島根県,267,36
33,岡山県,400,60
34,広島県,403,61
35,山口県,323,48
36,徳島県,314,43
37,香川県,257,37
38,愛媛県,319,53
39,高知県,366,59
40,福岡県,867,152
41,佐賀県,288,42
42,長崎県,348,33
43,熊本県,601,70
44,大分県,306,35
45,宮崎県,325,49
46,鹿児島県,588,75
47,沖縄県,553,85
