code,prefecture,men,women
1,北海道,801,123
2,青森県,209,40
3,岩手県,205,63
4,宮城県,256,92
5,秋田県,133,38
6,山形県,172,46
7,福島県,331,42
8,茨城県,304,138
9,栃木県,202,126
10,群馬県,223,77
11,埼玉県,597,202
12,千葉県,522,224
13,東京都,960,333
14,神奈川県,503,366
15,新潟県,357,76
16,富山県,100,76
17,石川県,88,106
18,福井県,122,62
19,山梨県,149,20
20,長野県,258,90
21,岐阜県,237,108
22,静岡県,351,126
23,愛知県,687,277
24,三重県,237,105
25,滋賀県,161,57
26,京都府,235,112
27,大阪府,684,278
28,兵庫県,563,168
29,奈良県,136,44
30,和歌山県,154,73
31,鳥取県,77,35
32,島根県,169,20
33,岡山県,249,119
34,広島県,238,201
35,山口県,195,66
36,徳島県,134,28
37,香川県,98,48
38,愛媛県,208,55
39,高知県,111,67
40,福岡県,474,224
41,佐賀県,107,39
42,長崎県,276,30
43,熊本県,250,75
44,大分県,192,50
45,宮崎県,177,30
46,鹿児島県,404,68
47,沖縄県,184,67
