code,prefecture,men,women
1,北海道,256,12
2,青森県,52,11
3,岩手県,71,6
4,宮城県,85,7
5,秋田県,45,4
6,山形県,48,9
7,福島県,81,4
8,茨城県,102,14
9,栃木県,62,7
10,群馬県,69,8
11,埼玉県,176,12
12,千葉県,171,7
13,東京都,343,58
14,神奈川県,178,43
15,新潟県,90,7
16,富山県,43,4
17,石川県,46,9
18,福井県,30,2
19,山梨県,33,7
20,長野県,81,13
21,岐阜県,75,7
22,静岡県,112,19
23,愛知県,193,23
24,三重県,63,5
25,滋賀県,48,7
26,京都府,84,9
27,大阪府,226,33
28,兵庫県,186,15
29,奈良県,43,4
30,和歌山県,37,6
31,鳥取県,31,1
32,島根県,40,6
33,岡山県,73,10
34,広島県,112,11
35,山口県,62,5
36,徳島県,26,5
37,香川県,36,4
38,愛媛県,48,5
39,高知県,35,5
40,福岡県,148,19
41,佐賀県,36,4
42,長崎県,72,6
43,熊本県,64,5
44,大分県,52,1
45,宮崎県,46,3
46,鹿児島県,81,7
47,沖縄県,58,6
