code,prefecture,men,women
1,北海道,297.7,223.6
2,青森県,267.4,219.1
3,岩手県,275.5,215
4,宮城県,311.4,235.5
5,秋田県,288.3,220.8
6,山形県,282.4,211.4
7,福島県,296.1,226.2
8,茨城県,331.4,245.7
9,栃木県,326.7,241.4
10,群馬県,312.2,234.2
11,埼玉県,330.6,257.4
12,千葉県,336.7,258.3
13,東京都,412.8,311.2
14,神奈川県,366.6,276.5
15,新潟県,299,235
16,富山県,308.7,238.8
17,石川県,312.3,240
18,福井県,313.3,235.6
19,山梨県,316.3,238.9
20,長野県,312.1,235.6
21,岐阜県,319.9,237.3
22,静岡県,323.4,241.1
23,愛知県,338.9,251.4
24,三重県,324.2,238.7
25,滋賀県,331.8,249.6
26,京都府,335.1,257.5
27,大阪府,363,276.4
28,兵庫県,344.2,258.4
29,奈良県,337.8,271
30,和歌山県,312.7,243.6
31,鳥取県,287,229.8
32,島根県,287.8,225.8
33,岡山県,312,235.7
34,広島県,322.3,245.8
35,山口県,305.7,242.7
36,徳島県,301.9,241.2
37,香川県,312,228.5
38,愛媛県,291.9,224.2
39,高知県,290.5,233.1
40,福岡県,323.7,253.2
41,佐賀県,285.4,227.7
42,長崎県,294.5,226
43,熊本県,302.1,226.3
44,大分県,300.1,233.2
45,宮崎県,276.3,215.7
46,鹿児島県,284,218.9
47,沖縄県,273.8,222.2
