code,prefecture,men,women
1,北海道,127870,19973
2,青森県,25793,4092
3,岩手県,23342,3380
4,宮城県,51577,7478
5,秋田県,20209,2376
6,山形県,24068,2582
7,福島県,43820,5826
8,茨城県,64390,12979
9,栃木県,49015,7979
10,群馬県,45689,5939
11,埼玉県,161839,24225
12,千葉県,134361,24198
13,東京都,758503,155210
14,神奈川県,213830,39434
15,新潟県,48438,5030
16,富山県,25707,3475
17,石川県,30215,4081
18,福井県,20082,2235
19,山梨県,25404,4945
20,長野県,51174,6319
21,岐阜県,48702,7510
22,静岡県,80997,11464
23,愛知県,188683,31512
24,三重県,39101,5907
25,滋賀県,28694,4210
26,京都府,71303,11857
27,大阪府,299790,59655
28,兵庫県,117819,22989
29,奈良県,27128,5035
30,和歌山県,21433,3139
31,鳥取県,12167,2158
32,島根県,14560,1697
33,岡山県,45425,7819
34,広島県,69342,12768
35,山口県,27787,4317
36,徳島県,18108,3106
37,香川県,25139,4059
38,愛媛県,32771,4647
39,高知県,15450,2396
40,福岡県,134258,26597
41,佐賀県,17121,2456
42,長崎県,27235,4076
43,熊本県,41037,6748
44,大分県,28610,5580
45,宮崎県,26256,3654
46,鹿児島県,36152,5262
47,沖縄県,38005,9850
