code,prefecture,men,women
1,北海道,2255,33
2,青森県,609,25
3,岩手県,440,25
4,宮城県,274,28
5,秋田県,308,31
6,山形県,339,32
7,福島県,250,23
8,茨城県,628,65
9,栃木県,294,29
10,群馬県,359,40
11,埼玉県,476,50
12,千葉県,711,48
13,東京都,471,47
14,神奈川県,555,60
15,新潟県,499,50
16,富山県,409,36
17,石川県,337,41
18,福井県,218,6
19,山梨県,196,24
20,長野県,388,64
21,岐阜県,217,41
22,静岡県,461,29
23,愛知県,687,119
24,三重県,332,23
25,滋賀県,390,42
26,京都府,156,16
27,大阪府,520,68
28,兵庫県,716,46
29,奈良県,26,2
30,和歌山県,447,43
31,鳥取県,137,11
32,島根県,81,6
33,岡山県,284,7
34,広島県,654,23
35,山口県,163,10
36,徳島県,513,36
37,香川県,362,5
38,愛媛県,450,37
39,高知県,258,12
40,福岡県,800,51
41,佐賀県,173,16
42,長崎県,823,18
43,熊本県,719,36
44,大分県,83,10
45,宮崎県,410,25
46,鹿児島県,594,38
47,沖縄県,368,4
