code,prefecture,men,women
1,北海道,724,393
2,青森県,459,207
3,岩手県,461,221
4,宮城県,526,252
5,秋田県,531,183
6,山形県,411,239
7,福島県,490,280
8,茨城県,475,338
9,栃木県,434,224
10,群馬県,387,249
11,埼玉県,590,389
12,千葉県,752,352
13,東京都,1070,741
14,神奈川県,818,360
15,新潟県,537,304
16,富山県,456,206
17,石川県,368,273
18,福井県,303,212
19,山梨県,377,154
20,長野県,457,308
21,岐阜県,434,320
22,静岡県,548,285
23,愛知県,740,414
24,三重県,500,240
25,滋賀県,364,228
26,京都府,520,269
27,大阪府,900,437
28,兵庫県,655,333
29,奈良県,399,202
30,和歌山県,462,222
31,鳥取県,204,155
32,島根県,377,290
33,岡山県,465,242
34,広島県,592,258
35,山口県,432,223
36,徳島県,283,304
37,香川県,376,201
38,愛媛県,450,217
39,高知県,397,182
40,福岡県,667,332
41,佐賀県,369,231
42,長崎県,473,265
43,熊本県,484,232
44,大分県,412,225
45,宮崎県,349,206
46,鹿児島県,505,330
47,沖縄県,375,211
