code,prefecture,men,women
1,北海道,58,11
2,青森県,48,12
3,岩手県,65,12
4,宮城県,44,16
5,秋田県,54,7
6,山形県,53,9
7,福島県,43,11
8,茨城県,40,12
9,栃木県,44,12
10,群馬県,43,10
11,埼玉県,50,23
12,千葉県,38,15
13,東京都,64,28
14,神奈川県,49,8
15,新潟県,61,13
16,富山県,55,12
17,石川県,58,12
18,福井県,31,21
19,山梨県,60,4
20,長野県,63,17
21,岐阜県,45,16
22,静岡県,52,11
23,愛知県,63,8
24,三重県,55,10
25,滋賀県,42,20
26,京都府,53,13
27,大阪府,54,9
28,兵庫県,49,7
29,奈良県,53,8
30,和歌山県,48,8
31,鳥取県,40,29
32,島根県,42,30
33,岡山県,50,9
34,広島県,53,20
35,山口県,50,10
36,徳島県,41,40
37,香川県,49,11
38,愛媛県,53,7
39,高知県,54,6
40,福岡県,47,14
41,佐賀県,53,19
42,長崎県,59,9
43,熊本県,47,22
44,大分県,46,14
45,宮崎県,46,9
46,鹿児島県,40,17
47,沖縄県,44,12
