code,prefecture,men,women
1,北海道,215,12
2,青森県,59,17
3,岩手県,45,16
4,宮城県,54,8
5,秋田県,42,14
6,山形県,40,15
7,福島県,38,23
8,茨城県,65,10
9,栃木県,34,12
10,群馬県,37,12
11,埼玉県,41,10
12,千葉県,56,7
13,東京都,71,15
14,神奈川県,59,11
15,新潟県,60,13
16,富山県,48,11
17,石川県,54,7
18,福井県,43,20
19,山梨県,42,6
20,長野県,34,15
21,岐阜県,36,14
22,静岡県,44,19
23,愛知県,56,13
24,三重県,48,15
25,滋賀県,44,12
26,京都府,49,9
27,大阪府,66,10
28,兵庫県,70,9
29,奈良県,33,13
30,和歌山県,50,10
31,鳥取県,31,23
32,島根県,57,14
33,岡山県,45,19
34,広島県,58,10
35,山口県,62,14
36,徳島県,47,15
37,香川県,47,13
38,愛媛県,49,12
39,高知県,45,16
40,福岡県,65,19
41,佐賀県,49,15
42,長崎県,90,12
43,熊本県,52,21
44,大分県,46,15
45,宮崎県,54,7
46,鹿児島県,66,13
47,沖縄県,45,14
