code,prefecture,men,women
1,北海道,439,250
2,青森県,138,100
3,岩手県,205,121
4,宮城県,139,71
5,秋田県,102,40
6,山形県,119,76
7,福島県,165,94
8,茨城県,220,131
9,栃木県,149,109
10,群馬県,94,63
11,埼玉県,384,238
12,千葉県,404,161
13,東京都,1093,599
14,神奈川県,398,250
15,新潟県,119,89
16,富山県,97,71
17,石川県,120,72
18,福井県,110,53
19,山梨県,61,36
20,長野県,143,103
21,岐阜県,160,105
22,静岡県,243,148
23,愛知県,451,321
24,三重県,103,81
25,滋賀県,166,101
26,京都府,130,105
27,大阪府,367,194
28,兵庫県,459,338
29,奈良県,139,97
30,和歌山県,101,72
31,鳥取県,103,80
32,島根県,143,152
33,岡山県,223,171
34,広島県,200,114
35,山口県,123,76
36,徳島県,121,101
37,香川県,67,55
38,愛媛県,162,132
39,高知県,107,80
40,福岡県,174,178
41,佐賀県,106,84
42,長崎県,106,82
43,熊本県,133,100
44,大分県,167,124
45,宮崎県,169,90
46,鹿児島県,127,80
47,沖縄県,166,141
