code,prefecture,men,women
1,北海道,0.333333333,0.992957746
2,青森県,0.363924051,1
3,岩手県,0.523510972,1
4,宮城県,0.206896552,1
5,秋田県,0.569506726,0.992907801
6,山形県,0.463976945,0.982206406
7,福島県,0.452631579,0.993464052
8,茨城県,0.312316716,0.995929444
9,栃木県,0.191570881,1
10,群馬県,0.228007181,0.997737557
11,埼玉県,0.315635939,1.001619433
12,千葉県,0.284763806,1
13,東京都,0.228935814,1.041821069
14,神奈川県,0.256232687,1.003351955
15,新潟県,0.266544118,1
16,富山県,0.362831858,0.996941896
17,石川県,0.259803922,0.993975904
18,福井県,0.416422287,1
19,山梨県,0.160493827,1
20,長野県,0.252696456,1
21,岐阜県,0.277310924,1
22,静岡県,0.242740999,1
23,愛知県,0.351683592,0.993914807
24,三重県,0.222018349,1
25,滋賀県,0.286026201,1
26,京都府,0.227586207,1
27,大阪府,0.327455919,1.114492754
28,兵庫県,0.175796178,0.998263889
29,奈良県,0.211956522,1
30,和歌山県,0.172413793,1
31,鳥取県,0.442244224,1
32,島根県,0.320634921,1
33,岡山県,0.360747664,0.997524752
34,広島県,0.211815562,0.990421456
35,山口県,0.253071253,1
36,徳島県,0.161716172,0.996336996
37,香川県,0.272727273,1
38,愛媛県,0.1575179,1
39,高知県,0.419463087,1
40,福岡県,0.172580645,1.003220612
41,佐賀県,0.149068323,1
42,長崎県,0.259713701,1
43,熊本県,0.180769231,1
44,大分県,0.308743169,0.996415771
45,宮崎県,0.359413203,1
46,鹿児島県,0.173489279,1
47,沖縄県,0.295081967,1
