code,prefecture,men,women
1,北海道,492,39
2,青森県,126,8
3,岩手県,130,9
4,宮城県,154,32
5,秋田県,88,7
6,山形県,84,6
7,福島県,192,8
8,茨城県,180,24
9,栃木県,127,17
10,群馬県,140,12
11,埼玉県,365,49
12,千葉県,326,32
13,東京都,552,78
14,神奈川県,321,88
15,新潟県,206,19
16,富山県,59,15
17,石川県,65,16
18,福井県,59,7
19,山梨県,78,3
20,長野県,153,19
21,岐阜県,154,21
22,静岡県,229,25
23,愛知県,377,35
24,三重県,137,13
25,滋賀県,83,10
26,京都府,137,20
27,大阪府,381,72
28,兵庫県,299,34
29,奈良県,82,9
30,和歌山県,93,11
31,鳥取県,46,4
32,島根県,81,9
33,岡山県,132,19
34,広島県,177,42
35,山口県,131,9
36,徳島県,66,10
37,香川県,58,3
38,愛媛県,114,9
39,高知県,73,16
40,福岡県,273,45
41,佐賀県,70,11
42,長崎県,140,15
43,熊本県,149,7
44,大分県,104,10
45,宮崎県,114,7
46,鹿児島県,166,14
47,沖縄県,106,14
