code,prefecture,men,women
1,北海道,1674,248
2,青森県,422,81
3,岩手県,377,146
4,宮城県,578,158
5,秋田県,286,94
6,山形県,317,108
7,福島県,661,96
8,茨城県,654,274
9,栃木県,374,226
10,群馬県,415,158
11,埼玉県,1317,306
12,千葉県,1194,308
13,東京都,2037,705
14,神奈川県,1148,650
15,新潟県,683,130
16,富山県,234,149
17,石川県,230,151
18,福井県,210,96
19,山梨県,276,74
20,長野県,546,135
21,岐阜県,489,260
22,静岡県,794,288
23,愛知県,1335,492
24,三重県,408,206
25,滋賀県,286,142
26,京都府,540,186
27,大阪府,1533,371
28,兵庫県,1093,286
29,奈良県,288,82
30,和歌山県,268,142
31,鳥取県,162,75
32,島根県,291,64
33,岡山県,521,215
34,広島県,552,347
35,山口県,414,140
36,徳島県,243,108
37,香川県,262,128
38,愛媛県,412,83
39,高知県,223,161
40,福岡県,1070,390
41,佐賀県,231,84
42,長崎県,540,91
43,熊本県,526,144
44,大分県,376,99
45,宮崎県,377,78
46,鹿児島県,681,128
47,沖縄県,425,114
