code,prefecture,men,women
1,北海道,69,9
2,青森県,75,27
3,岩手県,45,10
4,宮城県,85,20
5,秋田県,16,1
6,山形県,66,6
7,福島県,126,12
8,茨城県,40,6
9,栃木県,44,11
10,群馬県,30,1
11,埼玉県,92,21
12,千葉県,28,4
13,東京都,113,37
14,神奈川県,85,20
15,新潟県,45,7
16,富山県,59,19
17,石川県,39,5
18,福井県,44,8
19,山梨県,75,14
20,長野県,40,12
21,岐阜県,59,30
22,静岡県,79,23
23,愛知県,81,4
24,三重県,65,16
25,滋賀県,21,6
26,京都府,34,5
27,大阪府,47,6
28,兵庫県,43,13
29,奈良県,17,7
30,和歌山県,51,13
31,鳥取県,43,20
32,島根県,60,21
33,岡山県,76,26
34,広島県,24,8
35,山口県,70,7
36,徳島県,56,19
37,香川県,25,5
38,愛媛県,19,6
39,高知県,25,5
40,福岡県,84,19
41,佐賀県,36,5
42,長崎県,76,13
43,熊本県,45,8
44,大分県,48,4
45,宮崎県,26,4
46,鹿児島県,42,8
47,沖縄県,35,7
