code,prefecture,men,women
1,北海道,85,56.1
2,青森県,90.4,63.1
3,岩手県,91.8,68.1
4,宮城県,86.2,58.6
5,秋田県,89.8,68.3
6,山形県,88,66
7,福島県,88.4,60.4
8,茨城県,88.2,50.2
9,栃木県,87,59.1
10,群馬県,86.3,56.7
11,埼玉県,79.7,44.2
12,千葉県,79.9,45.9
13,東京都,86.3,63.2
14,神奈川県,81.5,43.9
15,新潟県,86.8,58.4
16,富山県,87.6,62.6
17,石川県,86,61.4
18,福井県,86.4,61.7
19,山梨県,82.8,54.1
20,長野県,85.7,57.4
21,岐阜県,83.8,48.8
22,静岡県,86.9,58.4
23,愛知県,86.2,50.1
24,三重県,88,51.1
25,滋賀県,82.7,48.5
26,京都府,80.5,50.5
27,大阪府,82.8,53.1
28,兵庫県,83.2,49.2
29,奈良県,74.2,43.1
30,和歌山県,82.7,47.4
31,鳥取県,88.5,63.4
32,島根県,87.7,62.9
33,岡山県,85.9,55.1
34,広島県,85.7,51.9
35,山口県,84.2,56
36,徳島県,87.1,59
37,香川県,87.9,57.1
38,愛媛県,84.8,54.7
39,高知県,85.7,65.9
40,福岡県,84.3,55
41,佐賀県,86.9,56.4
42,長崎県,85.9,54.2
43,熊本県,85.8,61.6
44,大分県,89.6,58.7
45,宮崎県,86.9,60.6
46,鹿児島県,86.6,57.9
47,沖縄県,84.1,56.5
