code,prefecture,men,women
1,北海道,39400,6140
2,青森県,7990,1470
3,岩手県,10080,1670
4,宮城県,16580,3030
5,秋田県,6860,1090
6,山形県,9010,1410
7,福島県,13730,2610
8,茨城県,16650,2850
9,栃木県,12770,2160
10,群馬県,13900,2230
11,埼玉県,46370,6490
12,千葉県,40530,5610
13,東京都,124270,24550
14,神奈川県,64340,10550
15,新潟県,18020,2330
16,富山県,7960,1150
17,石川県,7910,1570
18,福井県,6510,890
19,山梨県,5730,990
20,長野県,16340,2150
21,岐阜県,14270,2000
22,静岡県,26120,4180
23,愛知県,48200,7940
24,三重県,9930,1620
25,滋賀県,7850,1250
26,京都府,16780,3360
27,大阪府,57260,11330
28,兵庫県,36710,6930
29,奈良県,9530,1800
30,和歌山県,5410,1250
31,鳥取県,4040,790
32,島根県,4290,650
33,岡山県,13290,2860
34,広島県,19770,3510
35,山口県,7970,1620
36,徳島県,4590,1080
37,香川県,6830,1270
38,愛媛県,8490,1700
39,高知県,3980,790
40,福岡県,33130,6790
41,佐賀県,5080,920
42,長崎県,8190,1430
43,熊本県,11410,2200
44,大分県,7270,1470
45,宮崎県,6900,1150
46,鹿児島県,9590,1700
47,沖縄県,8050,1490
