code,prefecture,men,women
1,北海道,1001,76
2,青森県,536,44
3,岩手県,647,66
4,宮城県,680,67
5,秋田県,306,35
6,山形県,479,99
7,福島県,832,86
8,茨城県,642,78
9,栃木県,434,54
10,群馬県,780,146
11,埼玉県,963,123
12,千葉県,651,55
13,東京都,3179,566
14,神奈川県,782,130
15,新潟県,755,97
16,富山県,593,129
17,石川県,719,103
18,福井県,457,103
19,山梨県,561,78
20,長野県,722,81
21,岐阜県,745,157
22,静岡県,880,116
23,愛知県,1311,174
24,三重県,663,86
25,滋賀県,492,66
26,京都府,559,99
27,大阪府,784,79
28,兵庫県,741,121
29,奈良県,384,44
30,和歌山県,489,67
31,鳥取県,399,126
32,島根県,576,99
33,岡山県,701,95
34,広島県,349,51
35,山口県,498,51
36,徳島県,414,77
37,香川県,356,63
38,愛媛県,437,52
39,高知県,320,63
40,福岡県,544,113
41,佐賀県,352,55
42,長崎県,401,66
43,熊本県,466,57
44,大分県,471,46
45,宮崎県,413,37
46,鹿児島県,512,64
47,沖縄県,465,98
