code,prefecture,men,women
1,北海道,6410,1107
2,青森県,1328,256
3,岩手県,1050,230
4,宮城県,2072,536
5,秋田県,1052,281
6,山形県,827,212
7,福島県,1791,283
8,茨城県,2252,357
9,栃木県,1112,217
10,群馬県,1267,216
11,埼玉県,4430,858
12,千葉県,3359,544
13,東京都,4182,882
14,神奈川県,4987,1082
15,新潟県,1202,207
16,富山県,1293,463
17,石川県,1041,338
18,福井県,713,230
19,山梨県,801,143
20,長野県,1650,254
21,岐阜県,1972,386
22,静岡県,2218,399
23,愛知県,4746,1067
24,三重県,1891,520
25,滋賀県,1367,433
26,京都府,1852,484
27,大阪府,5315,1225
28,兵庫県,4417,1142
29,奈良県,1244,370
30,和歌山県,918,211
31,鳥取県,439,164
32,島根県,804,239
33,岡山県,1697,333
34,広島県,1918,464
35,山口県,1356,268
36,徳島県,741,233
37,香川県,626,134
38,愛媛県,1024,108
39,高知県,551,141
40,福岡県,2840,584
41,佐賀県,688,131
42,長崎県,1156,160
43,熊本県,1479,242
44,大分県,944,155
45,宮崎県,717,118
46,鹿児島県,1657,252
47,沖縄県,1198,225
