code,prefecture,men,women
1,北海道,3718,194
2,青森県,631,43
3,岩手県,968,158
4,宮城県,819,112
5,秋田県,606,84
6,山形県,938,97
7,福島県,1183,94
8,茨城県,1184,150
9,栃木県,556,74
10,群馬県,971,118
11,埼玉県,1885,265
12,千葉県,1367,213
13,東京都,1822,291
14,神奈川県,886,81
15,新潟県,830,90
16,富山県,454,47
17,石川県,409,52
18,福井県,427,67
19,山梨県,505,70
20,長野県,1817,185
21,岐阜県,850,81
22,静岡県,967,94
23,愛知県,1323,194
24,三重県,800,99
25,滋賀県,448,54
26,京都府,666,104
27,大阪府,1256,190
28,兵庫県,1083,168
29,奈良県,797,80
30,和歌山県,579,59
31,鳥取県,341,71
32,島根県,495,87
33,岡山県,461,97
34,広島県,718,81
35,山口県,546,74
36,徳島県,524,64
37,香川県,346,59
38,愛媛県,442,55
39,高知県,697,96
40,福岡県,1049,229
41,佐賀県,344,74
42,長崎県,614,53
43,熊本県,1555,134
44,大分県,476,48
45,宮崎県,712,71
46,鹿児島県,1029,72
47,沖縄県,516,50
