code,prefecture,men,women
1,北海道,1855,355
2,青森県,504,60
3,岩手県,476,80
4,宮城県,515,97
5,秋田県,370,45
6,山形県,436,66
7,福島県,756,89
8,茨城県,679,121
9,栃木県,398,75
10,群馬県,466,80
11,埼玉県,929,314
12,千葉県,896,236
13,東京都,1106,558
14,神奈川県,567,194
15,新潟県,459,91
16,富山県,220,28
17,石川県,264,35
18,福井県,245,34
19,山梨県,353,44
20,長野県,818,197
21,岐阜県,508,95
22,静岡県,530,123
23,愛知県,896,230
24,三重県,384,94
25,滋賀県,285,67
26,京都府,382,107
27,大阪府,667,227
28,兵庫県,664,187
29,奈良県,390,82
30,和歌山県,339,55
31,鳥取県,228,40
32,島根県,257,36
33,岡山県,391,65
34,広島県,398,71
35,山口県,322,47
36,徳島県,304,54
37,香川県,243,47
38,愛媛県,315,54
39,高知県,365,65
40,福岡県,860,163
41,佐賀県,281,48
42,長崎県,342,37
43,熊本県,587,73
44,大分県,299,44
45,宮崎県,314,61
46,鹿児島県,582,79
47,沖縄県,552,87
