code,prefecture,men,women
1,北海道,0.560689818,0.460187528
2,青森県,0.479692012,0.435512897
3,岩手県,0.434639255,0.421000593
4,宮城県,0.526390008,0.497830458
5,秋田県,0.436119874,0.400161681
6,山形県,0.470349829,0.41512792
7,福島県,0.460086559,0.393184459
8,茨城県,0.663581427,0.617353156
9,栃木県,0.543719485,0.476917696
10,群馬県,0.520305411,0.473497816
11,埼玉県,0.609274028,0.515609902
12,千葉県,0.615693335,0.549184556
13,東京都,0.774719932,0.77088786
14,神奈川県,0.626240987,0.561872083
15,新潟県,0.508914442,0.442950061
16,富山県,0.505439331,0.484152503
17,石川県,0.606761566,0.537313433
18,福井県,0.568441065,0.524383247
19,山梨県,0.824636902,0.671799259
20,長野県,0.529607314,0.476414578
21,岐阜県,0.53572966,0.490297685
22,静岡県,0.553878407,0.471861472
23,愛知県,0.581122215,0.542477156
24,三重県,0.488176303,0.455554139
25,滋賀県,0.57210368,0.468426741
26,京都府,0.729297694,0.696405765
27,大阪府,0.650933446,0.59664664
28,兵庫県,0.609378816,0.590596479
29,奈良県,0.653155301,0.606658658
30,和歌山県,0.548745174,0.485191862
31,鳥取県,0.445844821,0.444669639
32,島根県,0.507809788,0.423603793
33,岡山県,0.576975169,0.528060591
34,広島県,0.595284414,0.573354415
35,山口県,0.44492478,0.435048579
36,徳島県,0.505284016,0.538961039
37,香川県,0.587371855,0.531344675
38,愛媛県,0.53293617,0.506058446
39,高知県,0.512581868,0.50209351
40,福岡県,0.521111354,0.493824902
41,佐賀県,0.439243028,0.409920329
42,長崎県,0.442084942,0.423150901
43,熊本県,0.445427361,0.442516269
44,大分県,0.451165595,0.395611285
45,宮崎県,0.42290227,0.384041451
46,鹿児島県,0.477545292,0.422271839
47,沖縄県,0.550747539,0.529495472
